Unit: GPU minutes,sum,ec01,ec11,ec12,ec15,ec29,ec30,ec31,ec35,ec54,ec56,ec98,ec109,ec154,ec192,ec195,ec201,ec206,ec217,ec232,ec281,ec309,ec313,ec354,ec403,ec422,ec425,ec428,ec443,ec488,ec503,ec511,ec564
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO1A_S10/20251212_1156_P2S-02475-B_PBK09947_b4bad31f/pod5_file_id=PBK09947_b4bad31f_e2993b3d_31-39,3462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO1A_S10/20251212_1156_P2S-02475-B_PBK09947_b4bad31f/pod5_file_id=PBK09947_b4bad31f_e2993b3d_4,2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO1A_S10/20251212_1156_P2S-02475-B_PBK09947_b4bad31f/pod5_file_id=PBK09947_b4bad31f_e2993b3d_40-71,3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3027,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO1A_S10/20251212_1156_P2S-02475-B_PBK09947_b4bad31f/pod5_file_id=PBK09947_b4bad31f_e2993b3d_5,2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO1A_S10/20251212_1156_P2S-02475-B_PBK09947_b4bad31f/pod5_file_id=PBK09947_b4bad31f_e2993b3d_6,2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO1A_S10/20251212_1156_P2S-02475-B_PBK09947_b4bad31f/pod5_file_id=PBK09947_b4bad31f_e2993b3d_7,2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2163,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO1A_S10/20251212_1156_P2S-02475-B_PBK09947_b4bad31f/pod5_file_id=PBK09947_b4bad31f_e2993b3d_8-9,3783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3783,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_0,4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_1,3935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3935,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_10,3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3231,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_11,7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7098,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_12,3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3679,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_13,3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3139,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_14,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_15,2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2729,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_16,5834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5834,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_17,5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5761,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_18,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_19,2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2729,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_2,4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4379,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_20,3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_21,2317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_22,2685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2685,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_23,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_24,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_25,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_26,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_27,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_28-29,3330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_3,4026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_30-32,3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3216,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_33-42,6232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6232,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_4,7752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7752,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_5,7603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7603,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_6,7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7145,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_7,6999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6999,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_8,3742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3742,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO2A_S12/20251217_1724_P2S-02475-B_PBK01883_41c4d0ca/pod5_file_id=PBK01883_41c4d0ca_c168333c_9,3251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3251,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_0,4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4311,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_1,4288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4288,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_2,8514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8514,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_3,4297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4297,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_4,4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_5,4477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4477,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_6,4277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4277,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_7,4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4363,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251210_1247_P2S-02475-B_PBK09947_84babb2b/pod5_file_id=PBK09947_84babb2b_4a7074d9_8,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_0,4346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4346,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_1,4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4262,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_10,8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8501,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_11,4253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_12,4238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4238,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_13,4247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_14,5862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5862,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_15,4318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4318,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_16,4135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4135,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_17,4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_18,3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3828,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_19,3234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3234,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_2,4277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4277,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_20,3973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_21,3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_22,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3241,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_23,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2749,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_24,2891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2891,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_25,3555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_26,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2599,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_27,2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_3,4281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4281,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_4,4287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4287,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_5,4272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_6,4271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4271,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_7,4274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4274,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_8,4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4278,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO4B_S2/20251211_0920_P2S-02475-B_PBK09947_a9f56a30/pod5_file_id=PBK09947_a9f56a30_8eb1eb17_9,8577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8577,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_0,4173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4173,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_1,4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4191,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_10,3930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_11,3779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3779,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_12,4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_13,3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3725,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_14,7842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7842,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_15,3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_16,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_17,3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_18,3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3486,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_19,3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3204,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_2,8544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8544,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_20,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_21,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2991,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_22,5759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5759,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_23,3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_24,3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3248,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_25,3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3109,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_26,3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3018,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_3,8464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8464,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_4,4269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4269,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_5,4243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_6,8344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8344,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_7,4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_8,4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4154,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO7D_S21/20251216_1217_P2S-02475-B_PBK01883_f4ce389e/pod5_file_id=PBK01883_f4ce389e_74e3aa8d_9,4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4265,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO9E_S24/20251215_1321_P2S-02475-B_PBK01883_6eb93661/pod5_file_id=PBK01883_6eb93661_658d868a_0,4198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198,
smk-dorado_basecaller-exp=HL16/Ctrl_24h_KO9E_S24/20251215_1321_P2S-02475-B_PBK01883_6eb93661/pod5_file_id=PBK01883_6eb93661_658d868a_1,4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203,
